kepid,koi_disposition,koi_score,rowid
9471974,CONFIRMED,0.987,186
6862603,FALSE POSITIVE,0,187
7366258,CONFIRMED,1,188
7366258,CONFIRMED,0.983,189
7366258,CONFIRMED,1,190
7366258,CONFIRMED,1,191
7373451,CONFIRMED,1,192
6948054,CONFIRMED,1,193
6949607,CONFIRMED,1,194
6949607,CONFIRMED,1,195
7031517,CANDIDATE,0,196
11869052,FALSE POSITIVE,0.573,197
7109675,CONFIRMED,1,198
7109675,CONFIRMED,1,199
7118364,CONFIRMED,1,200
7134976,CONFIRMED,1,201
7134976,CONFIRMED,0.997,202
7135852,CONFIRMED,1,203
7270230,FALSE POSITIVE,0,204
7287995,CONFIRMED,1,205
7287995,CONFIRMED,1,206
7287995,CONFIRMED,0.998,207
3247396,FALSE POSITIVE,0,208
7303253,CONFIRMED,1,209
5094751,CONFIRMED,1,210
7678434,CONFIRMED,1,211
7678434,CONFIRMED,1,212
7685981,CONFIRMED,1,213
7708215,FALSE POSITIVE,0,214
7373451,CONFIRMED,1,215
7377033,FALSE POSITIVE,0,216
7380537,CANDIDATE,0.997,217
7434875,CONFIRMED,1,218
8349582,CONFIRMED,1,219
7434875,CONFIRMED,0,220
7434875,CONFIRMED,1,221
7455287,CONFIRMED,1,222
7455287,CONFIRMED,1,223
7455287,CONFIRMED,0.986,224
7458762,CONFIRMED,1,225
7552344,FALSE POSITIVE,0,226
757450,CONFIRMED,0.999,227
7585481,CONFIRMED,1,228
7663691,CONFIRMED,1,229
5812701,CONFIRMED,0.635,230
8013419,CANDIDATE,1,231
8018547,CANDIDATE,0.966,232
8039892,CONFIRMED,1,233
8150320,CONFIRMED,1,234
8150320,CONFIRMED,0.997,235
11086270,CONFIRMED,0.415,236
7767559,FALSE POSITIVE,0.228,237
7825899,CONFIRMED,1,238
7825899,CONFIRMED,1,239
7849854,CONFIRMED,1,240
7870390,CONFIRMED,1,241
7870390,CONFIRMED,1,242
5094751,CONFIRMED,1,243
7870390,CONFIRMED,1,244
7907423,CONFIRMED,0.999,245
7907423,CONFIRMED,0.999,246
7907423,CONFIRMED,0.998,247
7938496,CONFIRMED,1,248
8490993,CONFIRMED,1,249
8490993,CONFIRMED,0.999,250
8505670,CONFIRMED,1,251
8505670,CONFIRMED,1,252
8544996,CONFIRMED,0.997,253
8552202,CANDIDATE,1,254
8150320,CONFIRMED,1,255
8150320,CONFIRMED,1,256
8150320,CONFIRMED,0.996,257
8180063,FALSE POSITIVE,0,258
8226994,CONFIRMED,1,259
8226994,CONFIRMED,1,260
8226994,CONFIRMED,0.957,261
8247638,CONFIRMED,1,262
8247638,CONFIRMED,1,263
8247638,CONFIRMED,1,264
11086270,CONFIRMED,1,265
8247638,CONFIRMED,1,266
8255887,CONFIRMED,1,267
8256049,FALSE POSITIVE,0,268
8414716,CONFIRMED,1,269
9140402,CANDIDATE,1,270
9141746,CONFIRMED,1,271
9159275,FALSE POSITIVE,0,272
9166862,CONFIRMED,0.999,273
9166870,FALSE POSITIVE,0,274
11449844,CONFIRMED,0.92,275
8605074,FALSE POSITIVE,0,276
8628973,CONFIRMED,1,277
8655354,FALSE POSITIVE,0,278
8672910,CONFIRMED,0.996,279
8686150,FALSE POSITIVE,0,280
8689031,CONFIRMED,1,281
8689373,CONFIRMED,1,282
8689373,CONFIRMED,1,283
8689373,CONFIRMED,1,284
8826878,CONFIRMED,1,285
5897826,FALSE POSITIVE,0,286
8883593,CONFIRMED,1,287
8951215,CANDIDATE,1,288
9016295,FALSE POSITIVE,0,289
9077124,CONFIRMED,1,290
9097120,FALSE POSITIVE,0,291
9466668,CONFIRMED,1,292
9466668,CONFIRMED,1,293
9466668,CONFIRMED,1,294
9466668,CONFIRMED,1,295
9479273,CONFIRMED,1,296
8359498,CONFIRMED,0.999,297
9171801,FALSE POSITIVE,0,298
9334289,CONFIRMED,1,299
9334289,CONFIRMED,0.998,300
9334289,CONFIRMED,1,301
9347899,CONFIRMED,1,302
9347899,CONFIRMED,1,303
9347899,CONFIRMED,0.973,304
9347899,CANDIDATE,0.975,305
9388479,CONFIRMED,0.953,306
9388479,CONFIRMED,0.704,307
11359879,CONFIRMED,0.996,308
9406990,CONFIRMED,1,309
9415172,CONFIRMED,1,310
9415172,CONFIRMED,0.998,311
9415172,CONFIRMED,0.949,312
9904059,FALSE POSITIVE,1,313
3231341,CONFIRMED,1,314
3231341,CONFIRMED,1,315
3231341,CONFIRMED,0.999,316
2860866,CANDIDATE,1,317
7626506,CONFIRMED,1,318
10460629,CANDIDATE,,319
10319385,CANDIDATE,1,320
10482160,CONFIRMED,0.965,321
10485069,FALSE POSITIVE,,322
3233043,FALSE POSITIVE,0,323
6579806,FALSE POSITIVE,0,324
3560301,FALSE POSITIVE,0,325
4044005,FALSE POSITIVE,0,326
11502218,CANDIDATE,0,327
11180361,CANDIDATE,1,328
5802246,FALSE POSITIVE,0,329
6066403,FALSE POSITIVE,0,330
6209637,FALSE POSITIVE,,331
5988031,FALSE POSITIVE,0,332
7684873,FALSE POSITIVE,0,333
8559644,CONFIRMED,1,334
2851100,FALSE POSITIVE,0,335
3130300,FALSE POSITIVE,0,336
3240158,CONFIRMED,1,337
3240158,CONFIRMED,0.989,338
3228959,FALSE POSITIVE,0,339
3218908,CONFIRMED,1,340
10341913,FALSE POSITIVE,0,341
10480921,FALSE POSITIVE,0,342
10287723,CANDIDATE,,343
10350571,CONFIRMED,0.994,344
10350571,CANDIDATE,0.997,345
3749365,CONFIRMED,0.998,346
11013201,CANDIDATE,0.632,347
11673674,FALSE POSITIVE,0,348
11013201,CANDIDATE,0,349
9414417,CANDIDATE,0.999,350
3632418,CONFIRMED,1,351
3441784,FALSE POSITIVE,0,352
5820218,FALSE POSITIVE,0,353
5876368,FALSE POSITIVE,0,354
5809890,CONFIRMED,1,355
5809890,CONFIRMED,1,356
6131236,CONFIRMED,1,357
9048161,FALSE POSITIVE,0,358
3218908,CONFIRMED,0.993,359
3218908,CONFIRMED,1,360
3235672,FALSE POSITIVE,,361
2837111,CONFIRMED,0.995,362
3120276,FALSE POSITIVE,0,363
2307199,CANDIDATE,0.752,364
3547091,FALSE POSITIVE,0,365
3869825,FALSE POSITIVE,0,366
3655332,FALSE POSITIVE,0,367
4042026,FALSE POSITIVE,0,368
3344419,FALSE POSITIVE,0,369
11192141,FALSE POSITIVE,1,370
11494130,FALSE POSITIVE,0,371
5648449,FALSE POSITIVE,0,372
12167361,FALSE POSITIVE,0,373
8607720,FALSE POSITIVE,,374
1433962,FALSE POSITIVE,0,375
9032900,CANDIDATE,0,376
5956342,CONFIRMED,1,377
5956342,CONFIRMED,0.945,378
5956342,CONFIRMED,0.765,379
5956342,CONFIRMED,0.815,380
5956656,CONFIRMED,0.999,381
3109930,CONFIRMED,0.931,382
