kepid,koi_disposition,koi_period,koi_time0bk,koi_duration
5358624,CONFIRMED,3.525632539,170.0479951,2.59959
4544670,CANDIDATE,34.84398644,172.633252,2.9315
4664847,CONFIRMED,7.748094239,174.997206,3.5957
4725681,CONFIRMED,23.96793669,186.22182,3.827
4725681,CONFIRMED,8.29561738,135.79284,1.3421
4913852,CONFIRMED,8.11437482,176.33968,2.2736
4932348,FALSE POSITIVE,38.03672948,196.934947,4.34617
4936180,CANDIDATE,4.64090031,173.64638,35.512
11913073,FALSE POSITIVE,3.747838198,171.66504,5.0642
10875245,CONFIRMED,14.74914825,138.77799,6.0995
5021899,CONFIRMED,21.81295996,174.01085,4.3791
5077629,FALSE POSITIVE,7.91936937,172.181092,3.3148
5115978,CANDIDATE,1.028436523,170.228582,1.8606
5164255,CONFIRMED,15.37562369,173.61402,3.3169
5252423,CONFIRMED,8.10363271,176.9486,3.161
5252423,CONFIRMED,4.71510843,134.96178,2.506
5272878,CONFIRMED,6.365839713,171.13575,2.9721
5283542,FALSE POSITIVE,5.97581754,174.77602,3.065
5649215,FALSE POSITIVE,2.446737317,170.66951,4.7211
5651104,CONFIRMED,3.04033046,169.9490106,1.8411
5792202,CONFIRMED,15.33528675,174.00278,3.897
10875245,CONFIRMED,7.95825328,137.80219,4.377
5792202,CONFIRMED,31.33046135,153.43031,5.176
5370302,FALSE POSITIVE,3.9043425,173.393734,3.831
5372966,FALSE POSITIVE,9.286358079,171.8214689,3.49949
5376067,FALSE POSITIVE,3.951405455,173.276125,2.1862
5436502,CONFIRMED,23.65369415,171.376107,8.2183
5436502,CONFIRMED,13.23352214,140.32196,6.7372
5436502,CONFIRMED,6.15560285,134.81656,4.9843
5436502,CONFIRMED,2.090811305,134.17462,3.388
10875245,CONFIRMED,3.180027898,133.49863,3.5797
5436502,CONFIRMED,50.4467417,178.5014,7.159
5456651,CONFIRMED,11.76307164,180.93613,2.9076
5456651,CONFIRMED,56.2279271,132.29259,3.57
5481416,FALSE POSITIVE,2.384052875,171.58362,3.0918
5531576,CONFIRMED,7.953547,174.66224,2.6312
5531576,CONFIRMED,4.14451656,135.92831,2.3421
5534814,FALSE POSITIVE,4.859386384,173.011469,2.2757
6291653,CONFIRMED,10.52629458,176.522462,2.5211
6392727,CONFIRMED,4.583520948,169.973972,2.7055
6422070,CONFIRMED,3.76181843,171.90364,3.5176
6428700,CONFIRMED,8.20396958,169.69138,2.9667
6428700,CONFIRMED,14.49645186,143.41659,4.016
5792202,CONFIRMED,6.54626149,133.85964,2.75
5794379,CONFIRMED,12.71809866,175.35526,3.0957
5794379,CONFIRMED,36.06588163,198.58423,4.3246
5881688,CONFIRMED,4.190425659,171.44122,2.8589
6022556,CONFIRMED,3.709870784,171.987982,3.0694
6032497,CONFIRMED,16.3297527,177.29506,6.271
6061119,CONFIRMED,27.80756622,186.713552,4.21587
6191521,CONFIRMED,80.8723469,203.895,11.195
6267425,FALSE POSITIVE,3.166465862,172.002627,2.9381
3531558,CONFIRMED,24.99324319,138.68167,5.9409
6276477,CONFIRMED,10.35533116,170.93729,3.1775
6863998,CONFIRMED,16.08518937,180.28319,3.984
6867155,CANDIDATE,235.9986399,208.399822,8.2284
6948054,CONFIRMED,7.49018305,174.95037,2.7297
6948054,CONFIRMED,36.2761238,201.2869,4.7865
